Sample,Rf.values,X,Sample 1,Sample 2,Sample 3,Sample 4,Kon A,Kon B,Kon C
sample input,,[ul],47,57,68,46,,,
PC,1.06,[pmol],50,50,50,50,50,,
SM,1.35,[pmol],50,50,50,50,50,,
PE,1.74,[pmol],25,25,25,25,25,,
PS,1.13,[pmol],25,25,25,25,25,,
PI,0.64,[pmol],30,30,30,30,30,,
PG,0.86,[pmol],10,10,10,10,10,,
PA,0.22,[pmol],10,10,10,10,10,,
HexCer,1.65,[pmol],5,5,5,5,5,,
Cer,2.12,[pmol],5,5,5,5,5,,
Hex2Cer,1,[pmol],5,5,5,5,5,,
DAG,0.67,[pmol],25,25,25,25,25,,
TAG,0.76,[pmol],24,24,24,24,24,,
CE,1,[pmol],25,25,25,25,25,,
LPC,1,[pmol],5,5,5,5,5,,
CA,,[pmol],100,100,100,100,100,100,100
Chol,,[pmol],,,,,,50,100
plPE16-0,0.74,[pmol],,,,,,,
plPE18-0,0.74,[pmol],,,,,,,
plPE18-1,0.74,[pmol],,,,,,,
